A1: Ladder,B1: plate2_A1,C1: plate2_H12,D1: plate3_A1,E1: plate3_H12,F1: plate4_A1,G1: plate4_H12
257.3994,54.46695,66.60616,71.14966,1839.368,115.9612,67.67624
275.4988,56.09797,64.32905,72.6242,1794.048,121.4459,65.63197
294.6288,54.51536,62.26968,73.43225,1751.019,123.8208,63.42809
315.1653,54.79673,61.77991,74.45049,1705.72,125.9952,61.06953
337.6603,54.61672,64.00878,74.02995,1660.222,129.3023,58.82936
363.337,55.14258,64.97952,76.22386,1615.388,133.5601,56.80667
392.3385,55.02171,66.81867,78.1724,1573.617,137.5387,54.74715
419.3109,54.13926,69.83783,79.56844,1533.5,139.8602,52.94473
446.0493,53.61274,71.55548,81.21297,1495.703,140.7855,51.18795
477.2596,53.99313,72.84348,83.67917,1461.491,145.9446,49.72476
509.939,55.11948,75.08452,87.4159,1429.895,153.3899,48.4039
544.1331,58.1762,76.89516,92.08703,1399.679,159.2608,47.06154
579.2516,63.23026,78.75034,95.36118,1369.963,167.4876,45.97464
612.0832,67.6902,81.44576,97.47357,1340.853,176.5862,44.80877
642.155,71.58501,82.32191,98.73507,1314.423,182.5871,43.45646
667.1234,75.23077,84.33336,100.4264,1289.166,188.5967,42.29111
687.4556,79.308,85.3982,103.4883,1265.648,200.1983,41.27383
702.2657,83.43298,87.05447,107.4746,1243.154,216.5356,40.22918
707.2881,87.08959,89.72564,110.9804,1220.474,230.8137,39.18631
699.7166,90.84228,92.85257,114.3756,1195.734,246.4359,38.31867
685.4237,95.71921,96.3514,121.192,1173.401,267.0747,37.51151
661.2629,101.0994,99.98399,128.3007,1152.665,293.3069,37.30178
628.8489,106.3581,104.2108,136.9246,1134.66,323.8717,36.74623
592.5043,114.6986,109.1896,146.1575,1118.139,358.5188,36.68451
551.0958,124.4148,116.0695,157.0469,1103.067,394.4414,36.59881
504.4012,135.6665,122.7637,171.5608,1095.654,437.225,36.42245
455.0534,151.2603,131.7387,190.3058,1087.682,486.0658,36.45206
405.1355,170.1388,143.2714,211.7,1078.023,547.1339,36.74252
359.0358,192.851,157.7531,238.0989,1073.078,622.1383,36.97005
316.7137,222.3358,176.8714,271.6616,1069.079,712.8796,37.29672
276.8918,258.6592,199.8237,313.799,1064.707,820.3484,37.41066
240.8677,297.141,223.8952,365.9131,1054.193,942.912,37.59202
209.8931,345.5702,251.0264,427.9638,1041.102,1103.31,37.88894
182.6912,406.5362,290.9136,503.0298,1029.57,1311.676,38.252
162.2682,489.4848,342.4287,597.7378,1016.786,1569.797,38.64563
146.7533,586.552,396.9706,718.6478,1003.016,1889.895,39.04831
133.9794,701.079,464.9398,869.5341,982.8086,2274.813,39.2067
124.1227,840.8986,557.9122,1051.104,963.7151,2737.391,39.61845
117.523,1013.934,677.1457,1264.597,946.121,3293.943,40.11023
114.1588,1225.266,824.4828,1541.378,931.3957,3942.624,40.50766
113.7464,1480.703,1012.999,1864.448,918.634,4740.315,41.07033
116.3468,1792.251,1241.885,2243.088,909.3629,5651.689,42.01973
119.8459,2155.682,1511.252,2697.343,899.5225,6723.474,43.11161
126.1441,2587.043,1832.687,3224.159,891.1277,7954.216,44.12146
135.0513,3084.05,2227.474,3822.095,890.3832,9324.233,44.97783
146.5462,3663.732,2699.246,4561.816,885.772,10882.51,46.19011
161.7364,4315.85,3241.454,5431.216,878.4875,12710.46,47.00508
179.5434,5012.192,3850.775,6413.632,866.708,14784.1,47.43137
200.2039,5747.688,4532.72,7504.465,856.8727,17149.45,47.45008
223.8388,6522.405,5295.447,8686.774,849.0969,19809.61,46.81818
250.491,7328.897,6120.936,9929.334,841.2735,22572.29,45.51532
279.7312,8186.506,7061.481,11203.09,831.7645,25438.02,43.65661
311.8219,9063.057,8032.834,12502.56,819.2404,28325.35,41.75203
349.1529,9954.267,8993.357,13807.89,806.4114,31064.39,39.87473
394.9538,10827.76,9931.658,14982.31,793.3631,33461.77,37.83653
445.6739,11656.86,10839.91,15967.14,779.8459,35380.61,35.81955
504.4262,12395.02,11687.15,16733.06,769.7974,36642.66,34.10365
572.4853,12985.42,12413.05,17214.5,761.1023,37285.62,32.61322
648.5206,13379.08,12950.93,17360.41,749.084,37196.96,30.62594
730.0222,13563.01,13165.48,17154.21,739.1139,36391.69,29.04414
818.7942,13533.35,13110.7,16587.35,730.895,34947.3,27.54822
906.7548,13236.6,12801.05,15596.24,721.742,32911.91,26.02284
986.7382,12744.75,12257.48,14274.71,710.2513,30339.72,24.66095
1052.522,12007.45,11472.24,12825.84,695.4514,27467.56,23.65644
1099.336,11127.61,10476.67,11298.39,677.8372,24410.56,23.04571
1122.8,10148.73,9355.325,9752.831,660.7877,21270.31,22.72586
1117.832,9110.911,8203.056,8265.17,646.4369,18281.43,22.68525
