Wavelength,Absorbance
610.5,0.036
611,0.036
611.5,0.031
612,0.028
612.5,0.026
613,0.017
613.5,0.01
614,0.009
614.5,0.01
615,0.012
615.5,0.016
616,0.021
616.5,0.022
617,0.024
617.5,0.025
618,0.02
618.5,0.018
619,0.016
619.5,0.013
620,0.015
620.5,0.017
621,0.02
621.5,0.018
622,0.019
622.5,0.022
623,0.023
623.5,0.021
624,0.014
624.5,0.013
625,0.013
625.5,0.016
626,0.018
626.5,0.021
627,0.027
627.5,0.025
628,0.024
628.5,0.018
629,0.009
629.5,0.002
630,0.002
630.5,0.006
631,0.013
631.5,0.022
632,0.029
632.5,0.03
633,0.034
633.5,0.028
634,0.025
634.5,0.019
635,0.018
635.5,0.015
636,0.012
636.5,0.008
637,0.011
637.5,0.016
638,0.022
638.5,0.023
639,0.027
639.5,0.031
640,0.027
640.5,0.021
641,0.008
641.5,0.004
642,0.005
642.5,0.005
643,0.012
643.5,0.02
644,0.025
644.5,0.038
645,0.045
645.5,0.042
646,0.037
646.5,0.034
647,0.024
647.5,0.019
648,0.014
648.5,0.008
649,0.004
649.5,0.007
650,0.013
650.5,0.013
651,0.014
651.5,0.016
652,0.016
652.5,0.021
653,0.021
653.5,0.02
654,0.022
654.5,0.019
655,0.02
655.5,0.019
656,0.017
656.5,0.017
657,0.015
657.5,0.017
658,0.016
658.5,0.015
659,0.018
659.5,0.016
660,0.019
660.5,0.025
661,0.029
661.5,0.032
662,0.036
662.5,0.038
663,0.035
663.5,0.028
664,0.028
664.5,0.023
665,0.023
665.5,0.022
666,0.025
666.5,0.024
667,0.025
667.5,0.026
668,0.022
668.5,0.014
669,0.016
669.5,0.014
670,0.012
670.5,0.007
671,0.009
671.5,0.009
672,0.01
672.5,0.008
673,0.005
673.5,0.004
674,0.006
674.5,0.009
675,0.012
675.5,0.016
676,0.019
676.5,0.025
677,0.025
677.5,0.015
678,0.01
678.5,0.007
679,0.009
679.5,0.015
680,0.019
680.5,0.021
681,0.021
681.5,0.025
682,0.021
682.5,0.012
683,0.006
683.5,0.005
684,0.013
684.5,0.014
685,0.01
685.5,0.008
686,0.009
686.5,0.011
687,0.011
687.5,0.015
688,0.017
688.5,0.018
689,0.027
689.5,0.022
690,0.018
690.5,0.016
691,0.016
691.5,0.018
692,0.019
692.5,0.021
693,0.024
693.5,0.024
694,0.023
694.5,0.021
695,0.021
695.5,0.022
696,0.019
696.5,0.016
697,0.017
697.5,0.016
698,0.016
698.5,0.016
699,0.011
699.5,0.009
700,0.01
700.5,0.014
701,0.01
701.5,0.009
702,0.011
702.5,0.012
703,0.01
703.5,0.01
704,0.004
704.5,0
705,0.005
705.5,0.009
706,0.007
706.5,0.007
707,0.015
707.5,0.02
708,0.022
708.5,0.025
709,0.025
709.5,0.027
710,0.026
710.5,0.016
711,0.005
711.5,-0.002
712,-0.005
712.5,-0.003
713,0.001
713.5,0.007
714,0.013
714.5,0.016
715,0.013
715.5,0.009
716,0.003
716.5,-0.005
717,-0.005
717.5,-0.007
718,-0.006
718.5,0.001
719,0.015
719.5,0.021
720,0.019
720.5,0.022
721,0.021
721.5,0.019
722,0.02
722.5,0.009
723,0.003
723.5,-0.002
724,-0.002
724.5,-0.005
725,-0.008
725.5,0
726,0.003
726.5,0.01
727,0.02
727.5,0.021
728,0.02
728.5,0.019
729,0.018
729.5,0.017
730,0.017
730.5,0.019
731,0.015
731.5,0.015
732,0.015
732.5,0.014
733,0.016
733.5,0.022
734,0.018
734.5,0.014
735,0.016
735.5,0.016
736,0.014
736.5,0.012
737,0.007
737.5,0.007
738,0.002
738.5,0
739,-0.002
739.5,0.001
740,0.005
740.5,0.007
741,0.011
741.5,0.009
742,0.008
742.5,0.003
743,-0.007
743.5,-0.008
744,-0.003
744.5,0
745,0.003
745.5,0.01
746,0.022
746.5,0.026
747,0.032
747.5,0.031
748,0.028
748.5,0.025
749,0.019
749.5,0.011
750,0.002
750.5,0.003
751,0.007
751.5,0.007
752,0.01
752.5,0.013
753,0.015
753.5,0.019
754,0.019
754.5,0.02
755,0.017
755.5,0.023
756,0.025
756.5,0.023
757,0.026
757.5,0.031
758,0.032
758.5,0.027
759,0.018
759.5,0.011
760,0.001
760.5,0.004
761,0.005
761.5,0.005
762,0.012
762.5,0.021
763,0.024
763.5,0.024
764,0.021
764.5,0.021
765,0.017
765.5,0.023
766,0.024
766.5,0.023
767,0.022
767.5,0.024
768,0.023
768.5,0.026
769,0.022
769.5,0.017
770,0.014
770.5,0.013
771,0.008
771.5,0.006
772,-0.003
772.5,-0.006
773,-0.01
773.5,-0.005
774,0
774.5,0.006
775,0.007
775.5,0.011
776,0.01
776.5,0.009
777,0
777.5,-0.007
778,-0.018
778.5,-0.017
779,-0.011
779.5,-0.015
780,-0.02
780.5,-0.022
781,-0.032
781.5,-0.037
782,-0.047
782.5,-0.048
783,-0.048
783.5,-0.035
784,-0.017
784.5,-0.007
785,0.009
785.5,0.02
786,0.03
786.5,0.03
787,0.026
787.5,0.026
788,0.015
788.5,0.021
789,0.022
789.5,0.014
790,0.013
790.5,0.016
791,0.018
791.5,0.009
792,0.007
792.5,0.008
793,0.002
793.5,0.01
794,0.008
794.5,0.005
795,0.012
795.5,0.021
796,0.021
796.5,0.023
797,0.027
797.5,0.031
798,0.022
798.5,0.02
799,0.013
799.5,0.013
800,0.01
800.5,0.007
801,0.001
801.5,-0.006
802,-0.017
802.5,-0.029
803,-0.044
803.5,-0.048
804,-0.05
804.5,-0.036
805,-0.026
805.5,-0.01
806,0.003
806.5,0.014
807,0.023
807.5,0.021
808,0.018
808.5,0.013
809,0.009
809.5,0.007
810,0.003
810.5,0.005
811,0.002
811.5,0.01
812,0.01
812.5,0.005
813,0.009
813.5,0.004
814,0
814.5,-0.005
815,-0.004
815.5,0.001
816,0.003
816.5,0.012
817,0.018
817.5,0.021
818,0.02
818.5,0.012
819,0.005
819.5,-0.004
820,-0.006
820.5,-0.003
821,0.002
821.5,0.018
822,0.037
822.5,0.043
823,0.042
823.5,0.045
824,0.046
824.5,0.046
825,0.048
825.5,0.041
826,0.033
826.5,0.022
827,0.013
827.5,0.007
828,0.007
828.5,0.015
829,0.016
829.5,0.021
830,0.024
830.5,0.018
831,0.013
831.5,0.009
832,0.01
832.5,0.01
833,0.012
833.5,0.015
834,0.015
834.5,0.02
835,0.023
835.5,0.02
836,0.023
836.5,0.029
837,0.024
837.5,0.014
838,0.011
838.5,0.011
839,0.005
839.5,-0.002
840,-0.007
840.5,-0.005
841,0.006
841.5,0.014
842,0.012
842.5,0
843,-0.002
843.5,-0.005
844,-0.014
844.5,-0.013
845,-0.005
845.5,0.016
846,0.039
846.5,0.055
847,0.05
847.5,0.048
848,0.043
848.5,0.035
849,0.019
849.5,0.013
850,-0.009
