A1: Ladder,B1: Jono_cDNA_PLC_10F,C1: Jono_Prot_PLC_10F,D1: Nicky_cDNA_PLC_10F,E1: Nicky_PLA_PLC_10F
24.00397,257.5686,17.29771,186.6088,53.52228
24.30949,249.6459,17.06948,174.8438,54.10062
25.41129,242.2755,17.07682,163.6682,54.51145
27.12742,235.0246,16.98893,153.4514,54.92141
30.43697,228.6249,16.93474,143.6053,54.78887
35.75904,220.8382,16.92763,134.2602,54.82133
44.08846,212.7,16.67096,125.9163,54.70001
55.80643,203.7557,16.4052,117.9218,54.34737
72.18253,195.6019,16.06427,110.9081,54.0075
93.74818,187.5746,15.78076,104.271,53.7348
119.9789,179.8249,15.63026,97.45816,53.20251
152.1582,172.5035,15.68793,91.84454,52.58773
186.1054,166.0774,15.8539,86.71481,51.93168
217.8208,158.7263,15.9648,81.67952,51.37648
243.7277,152.195,16.13822,77.17708,50.5882
259.6383,146.4276,16.14881,73.33171,50.04123
262.8422,141.0854,16.09406,69.4058,49.28765
251.7012,135.334,15.98288,65.7878,48.66472
228.7384,130.3523,15.96807,62.28719,48.19502
197.0835,125.413,15.82127,58.8915,47.81338
161.8616,121.3107,15.81436,55.70345,47.35264
128.6763,116.8268,15.80462,52.97795,46.84906
98.90449,112.7402,15.72472,50.11722,46.39378
75.07352,108.7758,15.66262,47.55537,46.09136
57.82354,105.7218,15.66348,45.29151,45.44395
46.09644,103.4981,15.54892,43.27617,44.7295
38.51406,100.1017,15.63728,41.32026,43.79174
33.32374,96.86514,15.6245,39.67035,42.72704
30.12248,94.38667,15.74727,37.94467,41.63381
27.92681,91.73497,15.68057,36.27257,40.66367
26.37514,89.60907,15.64554,34.90926,39.74238
25.14151,87.13905,15.6557,33.677,39.126
24.14812,84.82191,15.50273,32.34222,38.64397
23.22453,82.56023,15.38922,31.18842,38.36863
22.41462,80.33569,15.45916,30.18336,38.13435
21.6046,78.35204,15.61921,29.16211,37.77931
20.88739,76.49667,15.64337,28.16766,37.53014
20.1815,74.54733,15.52975,27.22334,37.13896
19.25708,72.83469,15.49249,26.39613,36.6966
18.48026,70.91759,15.50237,25.49291,36.1859
17.60307,69.26234,15.61968,24.92463,35.78016
16.92885,67.73528,15.64856,24.38357,35.38474
16.3905,66.36865,15.6951,23.94232,35.02866
15.91761,64.82095,15.87598,23.38001,34.73611
15.65247,63.20308,16.09578,22.83212,34.57735
15.61137,61.92818,16.43165,22.32825,34.53365
15.63317,60.51109,16.46351,21.92745,34.38855
15.66675,59.19481,16.61261,21.43299,34.39334
15.8178,57.82727,16.59705,20.97975,34.14674
16.26329,56.53107,16.50941,20.6343,34.03833
17.03067,55.41257,16.29312,20.42127,33.98882
18.53226,54.24265,16.09468,20.03636,33.84151
21.3949,53.1151,16.08386,19.57844,33.60155
26.01135,51.80902,16.13566,19.12175,33.16304
33.99997,50.70359,16.17865,18.69853,32.76752
45.64728,49.56459,16.32678,18.45706,32.48903
63.37328,48.63523,16.47634,18.24985,31.96908
87.16205,47.47259,16.68968,17.71366,31.56695
116.6098,46.4254,16.73327,17.29247,31.12352
150.7837,45.44021,16.86454,17.05461,30.77439
185.2835,44.5168,16.79636,16.53587,30.5383
216.2004,43.69651,16.86849,15.83553,30.3624
237.0942,42.73322,16.86566,15.49901,29.99309
244.4588,41.9913,16.76905,15.24644,29.55643
238.278,41.53896,16.66673,15.14885,29.03111
218.8544,40.98448,16.55269,15.09582,28.61423
191.6857,40.78794,16.47942,15.14076,28.12347
159.798,40.24478,16.50607,14.98751,27.76699
128.0957,39.88367,16.66865,15.04179,27.40558
101.3136,39.52332,16.92041,15.07335,27.00925
