A1: Ladder,B1: Luke_PLA2.3b_10F,C1: Nicky_PLA2.3b_10F
6.438351,10.6312,13.38644
6.02763,9.343656,11.90489
5.548678,8.296602,10.5578
5.243788,7.564842,9.145872
4.915473,6.908877,8.11826
4.533058,6.336879,7.353121
4.09307,5.759795,6.625254
3.821008,5.346655,6.195846
3.585435,4.828848,5.475147
3.332765,4.44162,5.007668
3.049305,4.055545,4.756576
2.953144,3.661656,4.546166
2.674661,3.377804,4.082527
2.53524,3.15606,3.731414
2.438219,2.962108,3.411929
2.125381,2.822952,3.0247
2.083202,2.68447,2.62975
1.981393,2.630764,2.390776
1.811308,2.561603,2.235347
1.62101,2.427477,2.281223
1.461037,2.355728,2.284279
1.490125,2.197083,2.165729
1.346725,2.162282,2.121444
1.245577,2.066375,1.966066
1.154595,1.98965,1.83135
1.162345,1.85081,1.571836
1.241787,1.760117,1.33661
1.195568,1.685472,1.14143
1.16712,1.602984,0.9637413
1.06839,1.548424,0.9137011
1.101315,1.497088,0.8691463
1.106631,1.423746,0.772109
1.004461,1.371125,0.8550339
0.8988733,1.270773,0.6522808
0.7710781,1.00389,0.4976511
0.770237,0.8508673,0.4021893
0.6881847,0.6882353,0.336792
0.6375284,0.5441265,0.2471342
0.6268597,0.5023298,0.1916437
0.7010536,0.5148048,0.1886511
0.8414946,0.4499578,0.2164173
0.7817554,0.4525452,0.1801519
0.6646967,0.3948364,0.1318817
0.7011137,0.3789167,0.02803993
0.6376123,0.2767601,0
0.5017757,0.3099709,0.01383972
0.2871084,0.1839342,0.07714844
0.2185726,0.2038202,0
0.1017475,0.268363,0
0,0.2768459,0
0.03860664,0.2209454,0.02364254
0,0.1918821,0
0,0.05331326,0.004694939
0.03144169,0,0.04387856
0.02433681,0,0.02256489
0,0,0.001225471
0,0,0.04771996
0,0.06533909,0.03443623
0,0.1255131,0
0,0.2289047,0.01352024
0.02299881,0.2421255,0
0,0.1846867,0
0.05632114,0.03460693,0.03112507
0.03068542,0,0.03182983
0.06261301,0,0
0.0316782,0,0.01312542
0.0611186,0,0.01768589
0,0.03404808,0
0.0736208,0,0
0,0.09862137,0.01234245
0,0.04581165,0.03862
0,0,0.1055193
0.04624701,0,0.1156235
0,0.05383682,0.08875465
0.01800203,0.01983547,0.0524292
0.04062796,0.06134129,0.1043739
0.04302692,0,0
0,0,0
0.0629487,0,0
0,0.02816677,0
0,0,0.008943558
0,0,0
0.03354263,0,0
0.001720905,0.04010201,0
0.1031761,0,0.1160836
0.05387259,0.02592802,0.07614183
0,0,0.03179312
0,0.02109241,0
0,0.02435875,0
0.02991867,0,0.01461458
0,0.01231861,0
0,0,0
0.1211567,0,0.02144337
0.1024089,0.03635263,0
0.09904289,0.02187538,0.09242344
0.0150342,0.09790993,0
0,0.1405458,0
0.02056599,0.2648263,0
0,0.2295699,0.008982658
0,0.1403127,0.03404951
0,0.03102779,0.04826546
0.04254484,0,0.1503043
0.288806,0,0.1253681
0.3188801,0.0542798,0.06202984
0.3760185,0,0.1391921
0.3434925,0.001783848,0.1475248
0.3659911,0,0.1985188
0.3693676,0.003721714,0.1764121
0.3647857,0,0.1292715
0.2347031,0.002403736,0.04679728
0.1238685,0,0.04178047
0.1650519,0.1279497,0.01623106
0.1466532,0,0
0.08268023,0,0.01551151
0.08595037,0,0.1636572
0.05441236,0.04726124,0.2453122
0.1268277,0.02166557,0.3052268
0.1656671,0.09349394,0.2814555
0.1683788,0.1859746,0.2810092
0.1901064,0.1872945,0.2052102
0.1240892,0.1986127,0.2481809
0.1302786,0.2782788,0.2068753
0.02112484,0.205421,0.1516638
0,0.1891603,0.2895179
0.09058285,0.2232914,0.3180327
0.02731562,0.2213402,0.467031
0.03337193,0.2707691,0.6189523
0.06405592,0.35637,0.6838231
0.1593065,0.3853002,0.7989125
0.3056102,0.2792211,0.8352699
0.3626432,0.2922134,0.8439512
0.4491034,0.2502213,0.6517892
