A1: Ladder,B1: P8,C1: P8 10F
8.377123,5.885695,4.873909
8.149164,5.902077,5.083222
7.805752,5.775484,5.087778
7.702254,5.66021,5.087804
7.642316,5.615222,4.980834
7.750818,5.523744,4.916855
8.036118,5.447611,4.92466
8.331092,5.203131,4.970897
9.025402,5.049411,4.955486
10.01386,4.984738,4.855855
12.19643,5.067022,4.910473
14.81357,5.054472,4.936723
19.18385,4.983298,5.024818
25.48834,4.964703,5.083326
33.94877,4.9363,5.080939
44.27306,4.784331,5.166063
56.95089,4.691721,5.108021
70.31801,4.734804,5.011998
84.87169,4.794544,4.895428
98.47065,4.597148,4.750032
109.0666,4.48897,4.55272
115.7114,4.381695,4.582872
119.1642,4.231127,4.643589
118.495,4.216647,4.566735
113.8289,4.169086,4.647528
105.7432,4.157382,4.650987
95.59679,4.204912,4.509381
83.90096,4.358822,4.513255
72.80129,4.320723,4.627582
61.70483,4.235214,4.703206
51.11969,4.139214,4.731595
42.17862,4.039849,4.862545
35.19276,3.985538,4.980494
29.73716,3.938045,5.019472
25.55582,3.974225,5.099801
22.50066,3.970577,5.049238
19.95344,3.912205,5.006808
18.14337,4.070206,4.889297
16.57384,4.037666,4.910848
15.46398,4.094057,4.848232
14.68931,4.01757,4.886703
14.06386,4.000832,4.972558
13.53057,3.947657,5.224858
13.1473,3.980582,5.314081
13.02893,4.038849,5.401341
13.0014,3.968913,5.483918
12.64276,4.019803,5.455694
12.37882,4.165686,5.237796
12.08776,4.134321,5.221554
12.18744,4.141755,5.106132
12.88676,4.089844,5.102047
14.43988,3.979313,5.075019
17.16842,3.852212,5.140816
21.73212,3.94466,5.161773
28.55621,3.958593,5.261166
38.01518,3.91115,5.250208
50.08362,4.037585,5.162736
63.85876,4.184809,5.034859
78.99113,4.323157,5.024967
93.60105,4.308761,5.078643
106.3109,4.196676,5.10801
116.6416,4.103876,5.153119
123.0914,4.070583,5.174367
125.2046,4.002738,5.24768
122.6052,3.906896,5.277263
115.9024,3.6607,5.174778
105.9666,3.556806,5.016781
93.51521,3.561206,4.889071
80.18843,3.595134,5.041796
66.61983,3.609907,5.205157
54.42321,3.590207,5.281724
44.16056,3.700836,5.310176
35.74458,3.775188,5.310185
29.43712,3.748004,5.330853
24.66297,3.748206,5.321342
21.07598,3.67316,5.362454
18.42776,3.72646,5.346219
16.60968,3.889137,5.327136
15.24567,3.952582,5.447248
14.44362,4.006079,5.556348
13.99463,4.041497,5.552201
13.24688,4.003685,5.417297
12.55377,3.882554,5.304619
12.06647,3.771196,5.281808
11.49766,3.64816,5.221771
10.89578,3.600521,5.249754
10.46631,3.599536,5.226645
9.863646,3.490203,5.101558
9.512991,3.314634,5.125051
9.148724,3.310083,5.281069
8.781311,3.36901,5.451919
8.647017,3.368464,5.510949
8.408401,3.511845,5.614596
8.436577,3.648554,5.734091
8.260356,3.513715,5.770247
8.254723,3.409072,5.876365
8.315409,3.263427,5.933401
8.012619,3.050488,5.822513
8.051816,2.826855,5.704508
8.025736,2.826639,5.61749
8.002491,2.762852,5.659931
8.246374,2.892197,5.509316
8.49087,3.089497,5.448471
8.841812,3.174734,5.505786
8.971315,3.039928,5.563217
9.289927,3.041946,5.63988
9.460917,3.07963,5.610959
9.528093,3.120806,5.550999
9.586763,3.07775,5.499877
9.667809,3.167969,5.463935
10.15965,3.173791,5.453709
11.14106,3.193891,5.415868
13.05122,3.103729,5.442515
16.74475,3.064354,5.496291
22.31318,2.924374,5.501945
30.62097,2.894399,5.475964
42.22864,2.84344,5.409177
55.48326,2.806659,5.381986
69.78192,2.891996,5.465986
84.68082,2.921803,5.33795
98.60871,2.908105,5.351745
109.8702,2.855757,5.431629
117.541,2.818418,5.498174
121.0139,2.806409,5.48605
119.6891,2.664557,5.532456
114.388,2.579048,5.499987
106.1924,2.558311,5.549975
94.79416,2.630769,5.457726
82.14964,2.700984,5.389246
69.71413,2.691627,5.219542
57.8098,2.709278,5.238939
47.26344,2.745014,5.341751
38.42907,2.734904,5.529269
31.47412,2.72711,5.539678
26.13351,2.737723,5.575974
22.08519,2.710298,5.588141
19.28177,2.738872,5.619461
17.3652,2.753097,5.481094
15.8909,2.664751,5.308059
14.79642,2.642891,5.333064
13.78071,2.541491,5.280529
13.03564,2.563111,5.41479
12.48258,2.566463,5.475834
11.99838,2.537136,5.507477
11.73232,2.574575,5.603124
11.49564,2.49214,5.648852
11.44959,2.453657,5.64631
11.30767,2.460799,5.525785
10.94268,2.392128,5.506391
10.91322,2.426785,5.553441
10.78878,2.40784,5.507709
10.82201,2.513724,5.46083
10.89303,2.538362,5.339426
10.91034,2.51582,5.385393
11.11233,2.492592,5.452449
11.49004,2.400567,5.400844
12.00642,2.423855,5.401693
12.58011,2.423717,5.347324
13.73738,2.393044,5.456968
15.90964,2.450723,5.586253
19.803,2.407941,5.719753
26.15465,2.419924,5.702377
35.91733,2.463713,5.710403
47.44942,2.382586,5.695366
61.34628,2.315112,5.666162
76.83914,2.246288,5.568456
91.63426,2.306634,5.480111
105.0801,2.320758,5.50343
114.999,2.442155,5.55648
120.595,2.544312,5.716658
121.941,2.579717,5.82441
119.5057,2.600401,5.866305
113.7131,2.595496,5.8006
104.0143,2.463143,5.868331
92.86582,2.350741,5.973282
80.58138,2.272784,5.992991
68.1284,2.176452,5.943474
56.59199,2.045826,6.044085
45.95457,2.078074,6.043795
36.95657,2.11475,6.028069
29.88946,2.164981,5.953077
25.05851,2.223332,5.960821
21.59561,2.175785,5.859782
19.294,2.172652,6.07764
17.64765,2.26856,6.173534
16.4338,2.253974,6.181638
15.66834,2.144166,6.104717
14.83349,2.046202,6.221373
14.32125,2.053985,6.227419
13.91727,2.078346,6.324147
13.62035,2.216368,6.282537
13.4269,2.34829,6.383947
13.35607,2.313104,6.515568
13.45131,2.38068,6.663045
13.55029,2.484434,6.680154
14.25789,2.413084,6.619738
